label_name,label_points,label_image,label_instagram
VIRGIN,39618 POINTS,https://www.beatstats.com/images/label/small/19333.jpg?version=35842,https://www.instagram.com/VIRGIN
LIFE AND DEATH,39598 POINTS,https://www.beatstats.com/images/label/small/17532.jpg?version=48876,https://www.instagram.com/LIFE AND DEATH
SUPERCIRCUS,39470 POINTS,https://www.beatstats.com/images/label/small/79214.jpg?version=22698,https://www.instagram.com/SUPERCIRCUS
LAST NIGHT ON EARTH,39296 POINTS,https://www.beatstats.com/images/label/small/19252.jpg?version=42314,https://www.instagram.com/LAST NIGHT ON EARTH
DIM MAK RECORDS,39075 POINTS,https://www.beatstats.com/images/label/small/11919.jpg?version=11264,https://www.instagram.com/DIM MAK RECORDS
SENSO SOUNDS,38752 POINTS,https://www.beatstats.com/images/label/small/41999.jpg?version=9657,https://www.instagram.com/SENSO SOUNDS
ALL DAY I DREAM,38377 POINTS,https://www.beatstats.com/images/label/small/23038.jpg?version=2848,https://www.instagram.com/ALL DAY I DREAM
DIFFERENT,38326 POINTS,https://www.beatstats.com/images/label/small/1265.jpg?version=32763,https://www.instagram.com/DIFFERENT
ATLANTIC RECORDS,37728 POINTS,https://www.beatstats.com/images/label/small/15320.jpg?version=5981,https://www.instagram.com/ATLANTIC RECORDS
PRYDA RECORDINGS,37564 POINTS,https://www.beatstats.com/images/label/small/1377.jpg?version=59627,https://www.instagram.com/PRYDA RECORDINGS
FRYHIDE,37542 POINTS,https://www.beatstats.com/images/label/small/63803.jpg?version=30454,https://www.instagram.com/FRYHIDE
AUS MUSIC,37478 POINTS,https://www.beatstats.com/images/label/small/2806.jpg?version=58179,https://www.instagram.com/AUS MUSIC
CRITICAL MUSIC,37401 POINTS,https://www.beatstats.com/images/label/small/5862.jpg?version=46134,https://www.instagram.com/CRITICAL MUSIC
ELROW MUSIC,37148 POINTS,https://www.beatstats.com/images/label/small/26655.jpg?version=43662,https://www.instagram.com/ELROW MUSIC
HOTTRAX,37084 POINTS,https://www.beatstats.com/images/label/small/30334.jpg?version=40347,https://www.instagram.com/HOTTRAX
CIRCOLOCO RECORDS,36963 POINTS,https://www.beatstats.com/images/label/small/96392.jpg?version=7279,https://www.instagram.com/CIRCOLOCO RECORDS
DNB ALLSTARS,36063 POINTS,https://www.beatstats.com/images/label/small/73448.jpg?version=6324,https://www.instagram.com/DNB ALLSTARS
FLAMINGO RECORDINGS,35599 POINTS,https://www.beatstats.com/images/label/small/6329.jpg?version=8208,https://www.instagram.com/FLAMINGO RECORDINGS
SECOND STATE AUDIO,35556 POINTS,https://www.beatstats.com/images/label/small/39658.jpg?version=14471,https://www.instagram.com/SECOND STATE AUDIO
LOST & FOUND,35430 POINTS,https://www.beatstats.com/images/label/small/27599.jpg?version=22890,https://www.instagram.com/LOST & FOUND
TIGER RECORDS,35225 POINTS,https://www.beatstats.com/images/label/small/1398.jpg?version=31321,https://www.instagram.com/TIGER RECORDS
VICIOUS,35110 POINTS,https://www.beatstats.com/images/label/small/2725.jpg?version=28620,https://www.instagram.com/VICIOUS
MIXMASH RECORDS,34993 POINTS,https://www.beatstats.com/images/label/small/4825.jpg?version=12352,https://www.instagram.com/MIXMASH RECORDS
YELLOW PRODUCTIONS,34623 POINTS,https://www.beatstats.com/images/label/small/6680.jpg?version=11852,https://www.instagram.com/YELLOW PRODUCTIONS
FOOTWORK,34433 POINTS,https://www.beatstats.com/images/label/small/51510.jpg?version=36836,https://www.instagram.com/FOOTWORK
AETERNA RECORDS,34378 POINTS,https://www.beatstats.com/images/label/small/110913.jpg?version=22273,https://www.instagram.com/AETERNA RECORDS
SOLID GROOVES RAW,34321 POINTS,https://www.beatstats.com/images/label/small/66217.jpg?version=44095,https://www.instagram.com/SOLID GROOVES RAW
PRMD,34125 POINTS,https://www.beatstats.com/images/label/small/34520.jpg?version=35842,https://www.instagram.com/PRMD
SOUPED UP RECORDS,34114 POINTS,https://www.beatstats.com/images/label/small/62830.jpg?version=4384,https://www.instagram.com/SOUPED UP RECORDS
DAWN PATROL RECORDS,33470 POINTS,https://www.beatstats.com/images/label/small/84770.jpg?version=14455,https://www.instagram.com/DAWN PATROL RECORDS
UPPERGROUND,33294 POINTS,https://www.beatstats.com/images/label/small/98180.jpg?version=27961,https://www.instagram.com/UPPERGROUND
HYSTERIA RECS,33165 POINTS,https://www.beatstats.com/images/label/small/31486.jpg?version=2845,https://www.instagram.com/HYSTERIA RECS
LA PERA RECORDS,32619 POINTS,https://www.beatstats.com/images/label/small/27262.jpg?version=64367,https://www.instagram.com/LA PERA RECORDS
SKINT RECORDS,32462 POINTS,https://www.beatstats.com/images/label/small/7511.jpg?version=57100,https://www.instagram.com/SKINT RECORDS
HOSPITAL RECORDS,32325 POINTS,https://www.beatstats.com/images/label/small/2398.jpg?version=64476,https://www.instagram.com/HOSPITAL RECORDS
TOOLROOM TRAX,32277 POINTS,https://www.beatstats.com/images/label/small/38475.jpg?version=21359,https://www.instagram.com/TOOLROOM TRAX
RAWTONE BLACK,31156 POINTS,https://www.beatstats.com/images/label/small/52873.jpg?version=51265,https://www.instagram.com/RAWTONE BLACK
PPMUSIC,31145 POINTS,https://www.beatstats.com/images/label/small/25745.jpg?version=42779,https://www.instagram.com/PPMUSIC
HOUSEU,31102 POINTS,https://www.beatstats.com/images/label/small/62748.jpg?version=57763,https://www.instagram.com/HOUSEU
NINJA TUNE,30689 POINTS,https://www.beatstats.com/images/label/small/1726.jpg?version=32870,https://www.instagram.com/NINJA TUNE
OCTOPUS RECORDINGS,30430 POINTS,https://www.beatstats.com/images/label/small/5281.jpg?version=35703,https://www.instagram.com/OCTOPUS RECORDINGS
BORN ON ROAD,29897 POINTS,https://www.beatstats.com/images/label/small/37948.jpg?version=40668,https://www.instagram.com/BORN ON ROAD
ZULU RECORDS,29751 POINTS,https://www.beatstats.com/images/label/small/25154.jpg?version=58651,https://www.instagram.com/ZULU RECORDS
XL RECORDINGS,29718 POINTS,https://www.beatstats.com/images/label/small/1776.jpg?version=15507,https://www.instagram.com/XL RECORDINGS
SYSTEMATIC RECORDINGS,29501 POINTS,https://www.beatstats.com/images/label/small/611.jpg?version=11713,https://www.instagram.com/SYSTEMATIC RECORDINGS
STMPD RCRDS,29344 POINTS,https://www.beatstats.com/images/label/small/56009.jpg?version=2525,https://www.instagram.com/STMPD RCRDS
GLITTERBOX RECORDINGS,29032 POINTS,https://www.beatstats.com/images/label/small/58809.jpg?version=46294,https://www.instagram.com/GLITTERBOX RECORDINGS
SKINK,28785 POINTS,https://www.beatstats.com/images/label/small/37644.jpg?version=23954,https://www.instagram.com/SKINK
TINTED RECORDS,28735 POINTS,https://www.beatstats.com/images/label/small/41797.jpg?version=52563,https://www.instagram.com/TINTED RECORDS
BUNNY TIGER,28294 POINTS,https://www.beatstats.com/images/label/small/27211.jpg?version=35112,https://www.instagram.com/BUNNY TIGER
RUMORS,28253 POINTS,https://www.beatstats.com/images/label/small/38926.jpg?version=9091,https://www.instagram.com/RUMORS
ASTRALWERKS,27494 POINTS,https://www.beatstats.com/images/label/small/19324.jpg?version=53086,https://www.instagram.com/ASTRALWERKS
SAMUI RECORDINGS,27316 POINTS,https://www.beatstats.com/images/label/small/32758.jpg?version=43605,https://www.instagram.com/SAMUI RECORDINGS
MOUSEVILLE,27287 POINTS,https://www.beatstats.com/images/label/small/1421.jpg?version=14372,https://www.instagram.com/MOUSEVILLE
RECOVERY COLLECTIVE,27215 POINTS,https://www.beatstats.com/images/label/small/42220.jpg?version=12920,https://www.instagram.com/RECOVERY COLLECTIVE
ELECTRIC BALLROOM,27194 POINTS,https://www.beatstats.com/images/label/small/27132.jpg?version=15441,https://www.instagram.com/ELECTRIC BALLROOM
POLYDOR RECORDS,27090 POINTS,https://www.beatstats.com/images/label/small/69993.jpg?version=35842,https://www.instagram.com/POLYDOR RECORDS
FE CHROME,26912 POINTS,https://www.beatstats.com/images/label/small/70531.jpg?version=59970,https://www.instagram.com/FE CHROME
REJECTED,26775 POINTS,https://www.beatstats.com/images/label/small/4469.jpg?version=25662,https://www.instagram.com/REJECTED
CLASSIC MUSIC COMPANY,26622 POINTS,https://www.beatstats.com/images/label/small/19207.jpg?version=429,https://www.instagram.com/CLASSIC MUSIC COMPANY
LA LUNA RECORDS,26343 POINTS,https://www.beatstats.com/images/label/small/26084.jpg?version=45311,https://www.instagram.com/LA LUNA RECORDS
HOTFLUSH RECORDINGS,26237 POINTS,https://www.beatstats.com/images/label/small/7517.jpg?version=46046,https://www.instagram.com/HOTFLUSH RECORDINGS
RUNNING BACK,26015 POINTS,https://www.beatstats.com/images/label/small/3598.jpg?version=18901,https://www.instagram.com/RUNNING BACK
SONY MUSIC ENTERTAINMENT,25518 POINTS,https://www.beatstats.com/images/label/small/22005.jpg?version=35842,https://www.instagram.com/SONY MUSIC ENTERTAINMENT
PETS RECORDINGS,25510 POINTS,https://www.beatstats.com/images/label/small/14863.jpg?version=60779,https://www.instagram.com/PETS RECORDINGS
BEDROCK RECORDS,25497 POINTS,https://www.beatstats.com/images/label/small/63.jpg?version=39199,https://www.instagram.com/BEDROCK RECORDS
17 STEPS,25323 POINTS,https://www.beatstats.com/images/label/small/42211.jpg?version=44435,https://www.instagram.com/17 STEPS
PIV,25146 POINTS,https://www.beatstats.com/images/label/small/52484.jpg?version=49994,https://www.instagram.com/PIV
JACK BACK RECORDS,25020 POINTS,https://www.beatstats.com/images/label/small/25854.jpg?version=31364,https://www.instagram.com/JACK BACK RECORDS
MONABERRY,24706 POINTS,https://www.beatstats.com/images/label/small/13197.jpg?version=55479,https://www.instagram.com/MONABERRY
100% PURE,24602 POINTS,https://www.beatstats.com/images/label/small/1470.jpg?version=36098,https://www.instagram.com/100% PURE
TECHNE,24389 POINTS,https://www.beatstats.com/images/label/small/72485.jpg?version=13100,https://www.instagram.com/TECHNE
SPECTRUM (NL),24338 POINTS,https://www.beatstats.com/images/label/small/77926.jpg?version=58475,https://www.instagram.com/SPECTRUM (NL)
NITRON MUSIC,24147 POINTS,https://www.beatstats.com/images/label/small/34324.jpg?version=43049,https://www.instagram.com/NITRON MUSIC
HELL BEACH,23542 POINTS,https://www.beatstats.com/images/label/small/90385.jpg?version=45969,https://www.instagram.com/HELL BEACH
D4 D4NCE,23250 POINTS,https://www.beatstats.com/images/label/small/90764.jpg?version=58713,https://www.instagram.com/D4 D4NCE
UKF,23141 POINTS,https://www.beatstats.com/images/label/small/18130.jpg?version=47181,https://www.instagram.com/UKF
UMC (UNIVERSAL MUSIC CATALOGUE),22806 POINTS,https://www.beatstats.com/images/label/small/70016.jpg?version=35842,https://www.instagram.com/UMC (UNIVERSAL MUSIC CATALOGUE)
COCOON RECORDINGS,22730 POINTS,https://www.beatstats.com/images/label/small/1189.jpg?version=54438,https://www.instagram.com/COCOON RECORDINGS
RISING MUSIC,22639 POINTS,https://www.beatstats.com/images/label/small/1485.jpg?version=39927,https://www.instagram.com/RISING MUSIC
D:VISION,22637 POINTS,https://www.beatstats.com/images/label/small/10633.jpg?version=25578,https://www.instagram.com/D:VISION
